column_name,column_type,null,key,default,extra
code,VARCHAR,YES,,,
url,VARCHAR,YES,,,
creator,VARCHAR,YES,,,
created_t,BIGINT,YES,,,
created_datetime,TIMESTAMP WITH TIME ZONE,YES,,,
last_modified_t,BIGINT,YES,,,
last_modified_datetime,TIMESTAMP WITH TIME ZONE,YES,,,
last_modified_by,VARCHAR,YES,,,
last_updated_t,BIGINT,YES,,,
last_updated_datetime,TIMESTAMP WITH TIME ZONE,YES,,,
product_name,VARCHAR,YES,,,
abbreviated_product_name,VARCHAR,YES,,,
generic_name,VARCHAR,YES,,,
quantity,VARCHAR,YES,,,
packaging,VARCHAR,YES,,,
packaging_tags,VARCHAR,YES,,,
packaging_en,VARCHAR,YES,,,
packaging_text,VARCHAR,YES,,,
brands,VARCHAR,YES,,,
brands_tags,VARCHAR,YES,,,
brands_en,VARCHAR,YES,,,
categories,VARCHAR,YES,,,
categories_tags,VARCHAR,YES,,,
categories_en,VARCHAR,YES,,,
origins,VARCHAR,YES,,,
origins_tags,VARCHAR,YES,,,
origins_en,VARCHAR,YES,,,
manufacturing_places,VARCHAR,YES,,,
manufacturing_places_tags,VARCHAR,YES,,,
labels,VARCHAR,YES,,,
labels_tags,VARCHAR,YES,,,
labels_en,VARCHAR,YES,,,
emb_codes,VARCHAR,YES,,,
emb_codes_tags,VARCHAR,YES,,,
first_packaging_code_geo,VARCHAR,YES,,,
cities,VARCHAR,YES,,,
cities_tags,VARCHAR,YES,,,
purchase_places,VARCHAR,YES,,,
stores,VARCHAR,YES,,,
countries,VARCHAR,YES,,,
countries_tags,VARCHAR,YES,,,
countries_en,VARCHAR,YES,,,
ingredients_text,VARCHAR,YES,,,
ingredients_tags,VARCHAR,YES,,,
ingredients_analysis_tags,VARCHAR,YES,,,
allergens,VARCHAR,YES,,,
allergens_en,VARCHAR,YES,,,
traces,VARCHAR,YES,,,
traces_tags,VARCHAR,YES,,,
traces_en,VARCHAR,YES,,,
serving_size,VARCHAR,YES,,,
serving_quantity,DOUBLE,YES,,,
no_nutrition_data,VARCHAR,YES,,,
additives_n,BIGINT,YES,,,
additives,VARCHAR,YES,,,
additives_tags,VARCHAR,YES,,,
additives_en,VARCHAR,YES,,,
nutriscore_score,BIGINT,YES,,,
nutriscore_grade,VARCHAR,YES,,,
nova_group,BIGINT,YES,,,
pnns_groups_1,VARCHAR,YES,,,
pnns_groups_2,VARCHAR,YES,,,
food_groups,VARCHAR,YES,,,
food_groups_tags,VARCHAR,YES,,,
food_groups_en,VARCHAR,YES,,,
states,VARCHAR,YES,,,
states_tags,VARCHAR,YES,,,
states_en,VARCHAR,YES,,,
brand_owner,VARCHAR,YES,,,
environmental_score_score,BIGINT,YES,,,
environmental_score_grade,VARCHAR,YES,,,
nutrient_levels_tags,VARCHAR,YES,,,
